GRUPO1	GRUPO2
0.51	0.65
0.51	0.61
0.49	0.56
0.51	0.61
0.51	0.67
0.51	0.7
0.52	0.75
0.48	0.61
0.51	0.67
0.5	0.63
0.51	0.55
0.53	0.55
0.46	0.49
0.51	0.75
0.5	0.58
0.5	0.65
0.48	0.77
0.49	0.64
0.48	0.65
0.53	0.73
0.51	0.51
0.49	0.66
0.49	0.53
0.5	0.65
0.52	0.57
0.49	0.61
0.5	0.69
0.48	0.53
0.47	0.64
0.52	0.52
0.52	0.62
0.52	0.54
0.49	0.57
0.5	0.63
0.5	0.58
0.53	0.68
0.49	0.56
0.51	0.58
0.5	0.66
0.5	0.59
0.5	0.62
0.49	0.6
0.51	0.61
0.49	0.61
0.51	0.54
0.47	0.63
0.5	0.48
0.47	0.69
0.48	0.63
0.51	0.53
