CONTROLES	TRATADAS
26.1	        129.6
26.3	        31.4
87	        2745.6
95	        489.1
372.4	        430
0.01	        302.8
17.3	        119
24.4	        4.1
11.5	        92.4
321.2	        17.5
68.5	        200.7
81.5	        274.7
47.3	        274.7
28.6	        7.7
830.1	        1656
345.5 	        978
1202.6	        198.6
36.6	        703.4
4.9	        1697.8
4.9	        334.1
41.1	        118.3
29.9	        255
163 	        115.3
244.3	        242.5
147.8	        32.7
21.7	        40.6
