       obs       x1        x2        x3        x4        x5        x6        x7        x8        x9         y
        1      0.03     0.006         3         1        70       1.5      0.25      1.75         2        46
        2      0.03     0.006         3         1        70       1.5      0.25      2.25       3.7        28
        3      0.03     0.006         3         1        70       1.5      0.25         4       4.2        54
        4      0.03     0.021         3         1        80         1      0.25       1.6       1.5        70
        5      0.03     0.021         3         1        80         1      0.25       3.1         4        47
        6      0.03     0.021         3         1        80         1      0.25       3.6       2.4       112
        7      0.13     0.005       6.5         2        65         2      0.35      1.25       0.7       398
        8      0.13     0.005       6.5         2        65         2      0.35       2.3       3.5        98
        9      0.13     0.005       6.5         2        65         2      0.35      4.25         4       191
       10      0.13     0.008       6.5         2        68       0.5      0.15      1.45         2       171
       11      0.13     0.008       6.5         2        68       0.5      0.15       2.6         4       150
       12      0.13     0.008       6.5         2        68       0.5      0.15       3.9         3       331
       13         1     0.023        15        10        60         1       0.2      0.75         1       772
       14         1     0.023        15        10        60         1       0.2      1.75       1.5      1268
       15         1     0.023        15        10        60         1       0.2      3.25         4       849
       16         1     0.023        15        10        65         2       0.2       1.8         1      2294
       17         1     0.023        15        10        65         2       0.2       3.1         2      1984
       18         1     0.023        15        10        65         2       0.2      4.75         6       900
       19         3     0.039         7        15        67       0.5       0.5      1.75         2      2181
       20         3     0.039         7        15        67       0.5       0.5      3.25         4      2484
       21         3     0.039         7        15        67       0.5       0.5         5       6.5      2450
       22         5     0.109         6        15        62       1.5       0.6       1.5       1.5      1794
       23         5     0.109         6        15        62       1.5       0.6      2.75         3      2067
       24         5     0.109         6        15        62       1.5       0.6       4.2         5      2586
       25         7     0.055       6.5        19        56         2       0.5       1.8         2      2410
       26         7     0.055       6.5        19        56         2       0.5      3.25         4      1808
       27         7     0.055       6.5        19        56         2       0.5      5.25         6      3024
       28         7     0.063       6.5        19        56         1       0.5      1.25         2       710
       29         7     0.063       6.5        19        56         1       0.5       2.9       3.4      3181
       30         7     0.063       6.5        19        56         1       0.5      4.76         5      4279
